éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
624,-0.05140457,1.368448,0.6092669
625,-0.05154088,1.368383,0.6093851
626,-0.05171931,1.368315,0.6094815
627,-0.05189595,1.368271,0.6095518
628,-0.05202842,1.368186,0.6097103
629,-0.05220166,1.368166,0.6098081
630,-0.05236608,1.368126,0.60996
631,-0.05253705,1.36806,0.610057
632,-0.05269694,1.368057,0.6101357
633,-0.05286062,1.367973,0.6102175
634,-0.05295706,1.367863,0.6103545
635,-0.05310151,1.367793,0.6104692
636,-0.05334619,1.367634,0.6106144
637,-0.0534794,1.367513,0.6106716
638,-0.05364305,1.367431,0.6107122
639,-0.0537867,1.367343,0.6108276
640,-0.05392352,1.367303,0.6109649
641,-0.05404851,1.367237,0.6110119
642,-0.05410051,1.367106,0.6111716
643,-0.05420178,1.367056,0.6112388
644,-0.05437344,1.367,0.6112992
645,-0.05445138,1.366962,0.6113561
646,-0.0545083,1.366885,0.6113056
647,-0.05455431,1.366867,0.6112491
648,-0.05459777,1.366854,0.6112674
649,-0.05463237,1.366879,0.6112849
650,-0.05469212,1.366882,0.6112834
651,-0.05493695,1.366887,0.6111184
652,-0.05498293,1.366913,0.6111175
653,-0.05512282,1.366898,0.611035
654,-0.05517706,1.366936,0.6109837
655,-0.05526328,1.366961,0.6110507
656,-0.05531093,1.36698,0.6109618
657,-0.05530974,1.366967,0.6109501
658,-0.05518091,1.367008,0.6110033
659,-0.05518955,1.367015,0.6110126
660,-0.05521733,1.36701,0.6110836
661,-0.05521628,1.367044,0.6110994
662,-0.05528134,1.367093,0.6110724
663,-0.05526564,1.367142,0.6110967
664,-0.05534357,1.367211,0.6111907
665,-0.0554235,1.367202,0.6110731
666,-0.05542448,1.367192,0.6110672
667,-0.05538934,1.367232,0.6111706
668,-0.05538252,1.367231,0.6111814
669,-0.05535352,1.367211,0.6111444
670,-0.05535027,1.367208,0.6111683
671,-0.055343,1.367142,0.6112124
672,-0.05534324,1.367135,0.6112193
673,-0.05545467,1.367146,0.6111768
674,-0.05549061,1.367144,0.6111265
675,-0.05543053,1.36715,0.6110619
676,-0.05546629,1.367198,0.6112074
677,-0.05545536,1.367208,0.6112045
678,-0.05548811,1.367192,0.6112105
679,-0.05546254,1.367226,0.6112357
680,-0.05545112,1.367275,0.6112763
681,-0.05547345,1.367285,0.6112367
682,-0.05549148,1.367389,0.6113311
683,-0.05552015,1.367373,0.6113845
684,-0.05550432,1.367392,0.6114179
685,-0.05545583,1.367362,0.6113309
686,-0.05546322,1.367361,0.6113371
687,-0.05548882,1.367317,0.6112777
688,-0.0555644,1.367275,0.6111974
689,-0.05566719,1.367392,0.6112875
690,-0.05584204,1.367494,0.6113204
691,-0.05587992,1.367563,0.611364
692,-0.05594277,1.367631,0.6113991
693,-0.05602083,1.36766,0.6114026
