time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
307.0842,-0.009662449,0.1629915,-0.2977905,0.06250596,1,1,127.0558,2.213015,111
307.5934,-0.09677428,0.04726291,-0.4323157,-0.05320036,1,1,129.1169,0,110.4201
308.1169,0.1488817,0.07154119,-0.1670835,-0.04707968,1,1,128.9873,0.1,110.6601
308.6213,-0.04271334,0.1212663,-0.3590624,0.01773757,1,1,130.1992,0.3967546,115
309.1414,0.2057772,0.07686335,-0.1076352,-0.04936171,1,1,135,0.00608778,115.4114
309.6717,0.05123937,0.09537971,-0.2439736,-0.01094067,1,1,135,0.01550686,116.1135
310.1948,-0.0163179,0.1355278,-0.3119323,0.02817971,1,1,134.5168,0,121.1874
310.7086,-0.1638795,0.04766512,-0.5117828,0.001974702,1,1,133.255,0,121.3991
311.2259,-0.1186153,0.04702497,-0.4385235,-0.007024646,1,1,133.3661,0,119.5198
311.7385,-0.2254096,-0.06015456,0.005748034,-0.1552235,0.03465547,0.3956696,0,0,0
312.2615,-0.1187916,0.02667707,-0.4565516,-0.07083309,1,1,129.6747,0.1,114.3097
312.7847,0.1001643,-0.1054165,0.09068108,-0.1874835,0,0.1009997,0,0,0
313.2873,0.191874,0.05121493,-0.03949893,-0.0713799,1,1,131.163,1.668496,115
313.8111,0.3109432,0.067195,0.02152097,-0.0500319,1,1,131,0.1946191,110.5596
314.3289,0.09118497,0.07453078,-0.2218648,-0.02039874,1,1,130.3935,0.1,110.3104
314.8451,0.1011232,-0.1410555,0,0,0.1,0.2085945,0,0,0
315.3595,-0.1923372,0.1095335,-0.5207502,0.02536201,0.944424,0.8330364,126.9178,0,109.9908
315.8882,0.01870394,0.07065672,-0.3009396,-0.04536581,0.9779441,0.9615495,126.6239,0,109.7679
316.3956,0.1812584,-0.2025622,0,0,0,0,0,0,0
316.8968,0.01581752,0.1811029,-0.3567423,0.06305969,0.898787,0.9939418,127.4666,0,109.7449
317.4034,0.05841494,0.1076868,-0.2792419,0.01151216,1,1,129.3042,0,110.3361
317.9166,0.1552891,-0.06927395,-0.2178268,-0.2075616,0.7562912,0.8725669,128.0731,0,110.1226
318.4389,0.1351111,-0.1129684,-0.2496279,-0.1985235,0.8081124,0.8354985,127.9247,0,109.9885
318.9599,0.159018,0.004498124,-0.2333277,-0.09784651,0.9739386,0.9398895,127.958,0.09999999,110.0386
319.4604,0.1641597,-0.03882861,-0.2345297,-0.1634495,0.8903178,0.9047471,127.9588,0,110.0334
319.9728,-0.05025011,0.07864916,-0.3681655,-0.01952255,0.7149688,0.668932,130.238,0,110.8042
320.4745,-0.0316211,0.07374543,-0.3442926,-0.02694249,0.9068295,0.7646673,127.0755,1.148011,111
320.9991,-0.2294736,0.05008936,-0.5487714,-0.04602754,0.8286671,0.7048293,125,0.1851583,110.3254
321.5115,0.002586842,0.03681266,-0.2964358,-0.07407665,0.9492798,0.8231718,125.2871,0,109.8652
322.0184,-0.008896172,-0.1394228,0,0,0.01559858,0.1582533,0,0,0
322.5202,0.002927065,-0.009951591,-0.352351,-0.1111479,1,1,126.4889,0,110.6033
323.0284,0.05792236,0.1563085,-0.2713129,0.05625045,0.5795633,0.5594077,0,0,0
323.5373,0.1583205,0.07712615,-0.1469008,-0.03710508,1,1,125.1564,0,115.2367
324.0582,0.06574965,-0.01535451,-0.3108858,-0.1425378,0.6368515,0.5881252,126.9572,0.9711313,110.1118
324.5629,-0.0278514,0.04911894,-0.3865488,-0.03684723,0.9117932,0.7663373,125.9672,0,110.7524
325.0828,-0.08487642,0.009484053,-0.442182,-0.08417022,1,1,125.8351,0,110.8183
325.5848,-0.1255085,-0.05834818,-0.5104504,-0.1424106,0.9204651,0.7139498,126.1921,0.03961181,110.4561
326.1082,-0.05953383,0.02359116,-0.4163763,-0.0779314,1,1,126.1716,0,110.5583
326.6207,0.1081314,0.1845077,-0.1502641,-0.003682137,0.5202357,0.4647216,0,0,0
327.1351,0.4407055,0.02982056,0.1007931,-0.1175508,0.9273275,0.90626,126.6552,0.00809586,119
327.6382,0.101851,0.1109279,-0.2301881,-0.0004224777,1,1,126.2067,0.1,117.6387
328.148,0.3221116,0.06436288,-0.01055372,-0.07400835,1,1,131,0.002847552,118.5907
328.6699,-0.1272085,-0.05609679,-0.04430723,-0.1793466,0.19994,0.1200368,0,0,0
329.1764,-0.1754316,0.1036906,-0.5260807,0.003017962,1,1,125,0.6134291,116.2591
329.6886,0.4200234,0.09375989,0.08797014,-0.04658508,1,1,121.9468,0,114.4844
330.2147,-0.07736075,0.09501874,-0.4056059,0.0004822016,1,1,122.0851,0.1,113.6872
330.7383,0.2634821,0.04188597,-0.01963544,-0.09548068,0.728173,0.7075028,127,1.031116,114.9403
331.2426,0.268314,0.09623671,-0.03949815,-0.02986515,1,1,126.1916,0.1,111.4043
